drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.15,1.0,20,0.8017662814295196,1.0147005043555912,-0.0109861136841235,-0.009868598465251817,0.14998912166860792,0.0008306804980497538,-0.5753106641392005,-0.9286520665990312,0.634,0.0,0.68425,0.21075,0.0015
0.0,0.15,1.25,20,0.7068721790914144,1.0199725751203024,-0.01719571072253595,-0.01561827645046743,0.1874864020857599,0.0008306804980514114,-0.669309608220818,-0.9654281321985279,0.661,0.22575,0.86725,0.423,0.02575
0.0,0.15,1.5,20,0.6063270193080363,1.0269491835115965,-0.024706477193103926,-0.022643748207526647,0.2249836825029119,0.0008306804980509487,-0.746787966211939,-0.9836756351542663,0.69125,0.2025,0.949,0.6155,0.0985
0.0,0.15,2.0,20,0.4103787688018009,1.0491438231402397,-0.043556667895955525,-0.04040853111819321,0.2999782433372159,0.0008306804980505794,-0.8586054663304978,-0.9966324261238096,0.749,0.16325,0.99375,0.868,0.3505
0.0,0.15,2.5,20,0.24778735285873335,1.089600554383913,-0.06738166567086545,-0.06289039640900598,0.3749728041715198,0.0008306804980512499,-0.9265945192209806,-0.999373835911947,0.7975,0.12775,0.9995,0.96125,0.607
0.0,0.15,3.0,20,0.13387191595322429,1.159328256725376,-0.0956543132901872,-0.08974910737078941,0.4499673650058238,0.0008306804980508131,-0.9647613247235112,-0.9998950953243724,0.83725,0.1015,1.0,0.99025,0.79725
0.0,0.2,1.0,1,0.9804511105945533,1.0044632951759591,-0.019548889405446745,0.004463295175959206,0.19957784717529858,-0.00014573629999134805,-0.19805808644923484,-0.5339956570953486,0.53975,0.0,0.0015,0.0,0.0
0.0,0.2,1.25,1,0.9696765343311271,1.0056853343563426,-0.03032346566887284,0.005685334356342495,0.2494723089691232,-0.00014573629998683576,-0.2430274190910235,-0.6168850185047539,0.54675,0.418,0.01125,0.0,0.0
0.0,0.2,1.5,1,0.9567852536299497,1.0069560094893153,-0.043214746370050294,0.006956009489315149,0.2993667707629479,-0.00014573629998776986,-0.28659228077110843,-0.6856634336010792,0.5545,0.4085,0.04675,0.0,0.0
0.0,0.2,2.0,1,0.9238046192655565,1.0096556497772118,-0.0761953807344436,0.00965564977721161,0.3991556943505971,-0.0001457362999846465,-0.36824921239272823,-0.7906413063500131,0.57275,0.3905,0.18575,0.0075,0.0
0.0,0.2,2.5,1,0.8830060245054718,1.0125864733429597,-0.11699397549452822,0.012586473342959639,0.4989446179382464,-0.00014573629998599567,-0.44339357906416027,-0.8622399266037066,0.59125,0.3745,0.37,0.04525,0.0
